Command: /home/921088438/final/Final--AS/./simv -l simv.log +ntb_random_seed=1
Chronologic VCS simulator copyright 1991-2020
Contains Synopsys proprietary information.
Compiler version R-2020.12-SP2-11_Full64; Runtime version R-2020.12-SP2-11_Full64;  May 21 17:47 2024
VCD+ Writer R-2020.12-SP2-11_Full64 Copyright (c) 1991-2020 by Synopsys Inc.
Reset successful.
PASS: Expected sum 783d, DUT sum 783d
PASS: Expected sum 7844, DUT sum 7844
PASS: Expected sum 785d, DUT sum 785d
PASS: Expected sum 78e1, DUT sum 78e1
PASS: Expected sum 794b, DUT sum 794b
PASS: Expected sum 79e7, DUT sum 79e7
PASS: Expected sum 7abe, DUT sum 7abe
PASS: Expected sum 7b64, DUT sum 7b64
PASS: Expected sum 7c3e, DUT sum 7c3e
PASS: Expected sum 7ca1, DUT sum 7ca1
PASS: Expected sum 7cf5, DUT sum 7cf5
PASS: Expected sum 7d03, DUT sum 7d03
PASS: Expected sum 7d9b, DUT sum 7d9b
PASS: Expected sum 7e7d, DUT sum 7e7d
PASS: Expected sum 7e9e, DUT sum 7e9e
PASS: Expected sum 7eaa, DUT sum 7eaa
PASS: Expected sum 7f4a, DUT sum 7f4a
PASS: Expected sum 8016, DUT sum 8016
PASS: Expected sum 80d6, DUT sum 80d6
PASS: Expected sum 819a, DUT sum 819a
PASS: Expected sum 81db, DUT sum 81db
PASS: Expected sum 8252, DUT sum 8252
PASS: Expected sum 825e, DUT sum 825e
PASS: Expected sum 826f, DUT sum 826f
PASS: Expected sum 8283, DUT sum 8283
PASS: Expected sum 8369, DUT sum 8369
PASS: Expected sum 836a, DUT sum 836a
PASS: Expected sum 843e, DUT sum 843e
PASS: Expected sum 8529, DUT sum 8529
PASS: Expected sum 8612, DUT sum 8612
PASS: Expected sum 8711, DUT sum 8711
PASS: Expected sum 8773, DUT sum 8773
PASS: Expected sum 8812, DUT sum 8812
PASS: Expected sum 888f, DUT sum 888f
PASS: Expected sum 8907, DUT sum 8907
PASS: Expected sum 898c, DUT sum 898c
PASS: Expected sum 8a8a, DUT sum 8a8a
PASS: Expected sum 8b49, DUT sum 8b49
PASS: Expected sum 8c31, DUT sum 8c31
PASS: Expected sum 8c63, DUT sum 8c63
PASS: Expected sum 8cf7, DUT sum 8cf7
PASS: Expected sum 8d18, DUT sum 8d18
PASS: Expected sum 8d96, DUT sum 8d96
PASS: Expected sum 8e3e, DUT sum 8e3e
PASS: Expected sum 8f21, DUT sum 8f21
PASS: Expected sum 8f38, DUT sum 8f38
PASS: Expected sum 9011, DUT sum 9011
PASS: Expected sum 9075, DUT sum 9075
PASS: Expected sum 90b0, DUT sum 90b0
PASS: Expected sum 90b8, DUT sum 90b8
PASS: Expected sum 915f, DUT sum 915f
PASS: Expected sum 925d, DUT sum 925d
PASS: Expected sum 92b7, DUT sum 92b7
PASS: Expected sum 93a7, DUT sum 93a7
PASS: Expected sum 947d, DUT sum 947d
PASS: Expected sum 957c, DUT sum 957c
PASS: Expected sum 9592, DUT sum 9592
PASS: Expected sum 95a7, DUT sum 95a7
PASS: Expected sum 95b6, DUT sum 95b6
PASS: Expected sum 9670, DUT sum 9670
PASS: Expected sum 96d8, DUT sum 96d8
PASS: Expected sum 96ef, DUT sum 96ef
PASS: Expected sum 979e, DUT sum 979e
PASS: Expected sum 986b, DUT sum 986b
PASS: Expected sum 98fd, DUT sum 98fd
PASS: Expected sum 997a, DUT sum 997a
PASS: Expected sum 99b6, DUT sum 99b6
PASS: Expected sum 99dd, DUT sum 99dd
PASS: Expected sum 99f6, DUT sum 99f6
PASS: Expected sum 9a77, DUT sum 9a77
PASS: Expected sum 9abd, DUT sum 9abd
PASS: Expected sum 9b74, DUT sum 9b74
PASS: Expected sum 9be1, DUT sum 9be1
PASS: Expected sum 9cbe, DUT sum 9cbe
PASS: Expected sum 9d0b, DUT sum 9d0b
PASS: Expected sum 9df6, DUT sum 9df6
PASS: Expected sum 9e71, DUT sum 9e71
PASS: Expected sum 9f17, DUT sum 9f17
PASS: Expected sum 9f8d, DUT sum 9f8d
PASS: Expected sum 9fc2, DUT sum 9fc2
PASS: Expected sum a041, DUT sum a041
PASS: Expected sum a063, DUT sum a063
PASS: Expected sum a0a0, DUT sum a0a0
PASS: Expected sum a12e, DUT sum a12e
PASS: Expected sum a1ad, DUT sum a1ad
PASS: Expected sum a26b, DUT sum a26b
PASS: Expected sum a309, DUT sum a309
PASS: Expected sum a321, DUT sum a321
PASS: Expected sum a3c2, DUT sum a3c2
PASS: Expected sum a497, DUT sum a497
PASS: Expected sum a50c, DUT sum a50c
PASS: Expected sum a587, DUT sum a587
PASS: Expected sum a5ff, DUT sum a5ff
PASS: Expected sum a65c, DUT sum a65c
PASS: Expected sum a723, DUT sum a723
PASS: Expected sum a791, DUT sum a791
PASS: Expected sum a823, DUT sum a823
PASS: Expected sum a8a9, DUT sum a8a9
PASS: Expected sum a93c, DUT sum a93c
PASS: Expected sum aa01, DUT sum aa01
PASS: Expected sum aa9a, DUT sum aa9a
PASS: Expected sum ab78, DUT sum ab78
PASS: Expected sum abc5, DUT sum abc5
PASS: Expected sum abdb, DUT sum abdb
PASS: Expected sum abde, DUT sum abde
PASS: Expected sum acca, DUT sum acca
PASS: Expected sum adc6, DUT sum adc6
PASS: Expected sum adf4, DUT sum adf4
PASS: Expected sum aea2, DUT sum aea2
PASS: Expected sum af0f, DUT sum af0f
PASS: Expected sum af4b, DUT sum af4b
PASS: Expected sum af91, DUT sum af91
PASS: Expected sum afc4, DUT sum afc4
PASS: Expected sum afd9, DUT sum afd9
PASS: Expected sum b003, DUT sum b003
PASS: Expected sum b008, DUT sum b008
PASS: Expected sum b008, DUT sum b008
PASS: Expected sum b05f, DUT sum b05f
PASS: Expected sum b0c8, DUT sum b0c8
PASS: Expected sum b15f, DUT sum b15f
PASS: Expected sum b184, DUT sum b184
PASS: Expected sum b1cc, DUT sum b1cc
PASS: Expected sum b2ca, DUT sum b2ca
PASS: Expected sum b3ab, DUT sum b3ab
PASS: Expected sum b3f7, DUT sum b3f7
PASS: Expected sum b4b7, DUT sum b4b7
PASS: Expected sum b539, DUT sum b539
PASS: Expected sum b578, DUT sum b578
PASS: Expected sum b5bb, DUT sum b5bb
PASS: Expected sum b6b4, DUT sum b6b4
PASS: Expected sum b73a, DUT sum b73a
PASS: Expected sum b7b9, DUT sum b7b9
PASS: Expected sum b7e1, DUT sum b7e1
PASS: Expected sum b8c9, DUT sum b8c9
PASS: Expected sum b995, DUT sum b995
PASS: Expected sum b9c7, DUT sum b9c7
PASS: Expected sum ba67, DUT sum ba67
PASS: Expected sum bacc, DUT sum bacc
PASS: Expected sum baf9, DUT sum baf9
PASS: Expected sum bbdc, DUT sum bbdc
PASS: Expected sum bcc7, DUT sum bcc7
PASS: Expected sum bd6c, DUT sum bd6c
PASS: Expected sum bdc3, DUT sum bdc3
PASS: Expected sum be47, DUT sum be47
PASS: Expected sum be51, DUT sum be51
PASS: Expected sum be93, DUT sum be93
PASS: Expected sum bef1, DUT sum bef1
PASS: Expected sum bf84, DUT sum bf84
PASS: Expected sum bfa3, DUT sum bfa3
PASS: Expected sum c039, DUT sum c039
PASS: Expected sum c127, DUT sum c127
PASS: Expected sum c221, DUT sum c221
PASS: Expected sum c2d0, DUT sum c2d0
PASS: Expected sum c30c, DUT sum c30c
PASS: Expected sum c3b0, DUT sum c3b0
PASS: Expected sum c4ae, DUT sum c4ae
PASS: Expected sum c545, DUT sum c545
PASS: Expected sum c566, DUT sum c566
PASS: Expected sum c65b, DUT sum c65b
PASS: Expected sum c6de, DUT sum c6de
PASS: Expected sum c70c, DUT sum c70c
PASS: Expected sum c754, DUT sum c754
PASS: Expected sum c778, DUT sum c778
PASS: Expected sum c86d, DUT sum c86d
PASS: Expected sum c8be, DUT sum c8be
PASS: Expected sum c95e, DUT sum c95e
PASS: Expected sum ca2b, DUT sum ca2b
PASS: Expected sum ca97, DUT sum ca97
PASS: Expected sum cab4, DUT sum cab4
PASS: Expected sum cb4b, DUT sum cb4b
PASS: Expected sum cbfb, DUT sum cbfb
PASS: Expected sum ccb4, DUT sum ccb4
PASS: Expected sum cceb, DUT sum cceb
PASS: Expected sum cd63, DUT sum cd63
PASS: Expected sum cdc8, DUT sum cdc8
PASS: Expected sum ce73, DUT sum ce73
PASS: Expected sum cf06, DUT sum cf06
PASS: Expected sum cf8c, DUT sum cf8c
PASS: Expected sum d007, DUT sum d007
PASS: Expected sum d0ef, DUT sum d0ef
PASS: Expected sum d0ef, DUT sum d0ef
PASS: Expected sum d166, DUT sum d166
PASS: Expected sum d1be, DUT sum d1be
PASS: Expected sum d2a7, DUT sum d2a7
PASS: Expected sum d31a, DUT sum d31a
PASS: Expected sum d407, DUT sum d407
PASS: Expected sum d450, DUT sum d450
PASS: Expected sum d463, DUT sum d463
PASS: Expected sum d52b, DUT sum d52b
PASS: Expected sum d5fc, DUT sum d5fc
PASS: Expected sum d64c, DUT sum d64c
PASS: Expected sum d64e, DUT sum d64e
PASS: Expected sum d6f4, DUT sum d6f4
PASS: Expected sum d77d, DUT sum d77d
PASS: Expected sum d7ef, DUT sum d7ef
PASS: Expected sum d8b2, DUT sum d8b2
PASS: Expected sum d8bd, DUT sum d8bd
PASS: Expected sum d8f8, DUT sum d8f8
PASS: Expected sum d8ff, DUT sum d8ff
PASS: Expected sum d9d5, DUT sum d9d5
PASS: Expected sum da06, DUT sum da06
PASS: Expected sum da57, DUT sum da57
PASS: Expected sum da97, DUT sum da97
PASS: Expected sum db78, DUT sum db78
PASS: Expected sum dbec, DUT sum dbec
PASS: Expected sum dc4f, DUT sum dc4f
PASS: Expected sum dd36, DUT sum dd36
PASS: Expected sum dd49, DUT sum dd49
PASS: Expected sum dd52, DUT sum dd52
PASS: Expected sum dd54, DUT sum dd54
PASS: Expected sum de1b, DUT sum de1b
PASS: Expected sum df08, DUT sum df08
PASS: Expected sum df3a, DUT sum df3a
PASS: Expected sum df54, DUT sum df54
PASS: Expected sum e032, DUT sum e032
PASS: Expected sum e096, DUT sum e096
PASS: Expected sum e175, DUT sum e175
PASS: Expected sum e181, DUT sum e181
PASS: Expected sum e1b0, DUT sum e1b0
PASS: Expected sum e1fb, DUT sum e1fb
PASS: Expected sum e299, DUT sum e299
PASS: Expected sum e2e2, DUT sum e2e2
PASS: Expected sum e302, DUT sum e302
PASS: Expected sum e3c0, DUT sum e3c0
PASS: Expected sum e3ea, DUT sum e3ea
PASS: Expected sum e426, DUT sum e426
PASS: Expected sum e4f0, DUT sum e4f0
PASS: Expected sum e59e, DUT sum e59e
PASS: Expected sum e5fe, DUT sum e5fe
PASS: Expected sum e609, DUT sum e609
PASS: Expected sum e695, DUT sum e695
PASS: Expected sum e732, DUT sum e732
PASS: Expected sum e773, DUT sum e773
PASS: Expected sum e78d, DUT sum e78d
PASS: Expected sum e79d, DUT sum e79d
PASS: Expected sum e894, DUT sum e894
PASS: Expected sum e8e9, DUT sum e8e9
PASS: Expected sum e8ec, DUT sum e8ec
PASS: Expected sum e9b2, DUT sum e9b2
PASS: Expected sum ea5e, DUT sum ea5e
PASS: Expected sum eb2b, DUT sum eb2b
PASS: Expected sum eb52, DUT sum eb52
PASS: Expected sum eb9c, DUT sum eb9c
PASS: Expected sum eba7, DUT sum eba7
PASS: Expected sum ec26, DUT sum ec26
PASS: Expected sum ed01, DUT sum ed01
PASS: Expected sum ed80, DUT sum ed80
PASS: Expected sum edcb, DUT sum edcb
PASS: Expected sum ee8c, DUT sum ee8c
PASS: Expected sum ef4f, DUT sum ef4f
PASS: Expected sum f029, DUT sum f029
PASS: Expected sum f0a2, DUT sum f0a2
PASS: Expected sum f17d, DUT sum f17d
PASS: Expected sum f279, DUT sum f279
PASS: Expected sum f328, DUT sum f328
PASS: Expected sum f3b2, DUT sum f3b2
PASS: Expected sum f411, DUT sum f411
PASS: Expected sum f452, DUT sum f452
PASS: Expected sum f461, DUT sum f461
PASS: Expected sum f52e, DUT sum f52e
PASS: Expected sum f543, DUT sum f543
PASS: Expected sum f621, DUT sum f621
PASS: Expected sum f6b0, DUT sum f6b0
PASS: Expected sum f786, DUT sum f786
PASS: Expected sum f7aa, DUT sum f7aa
PASS: Expected sum f82b, DUT sum f82b
PASS: Expected sum f8a7, DUT sum f8a7
PASS: Expected sum f998, DUT sum f998
PASS: Expected sum f9ff, DUT sum f9ff
PASS: Expected sum fa24, DUT sum fa24
PASS: Expected sum fa41, DUT sum fa41
PASS: Expected sum fb40, DUT sum fb40
PASS: Expected sum fbfb, DUT sum fbfb
PASS: Expected sum fc40, DUT sum fc40
PASS: Expected sum fd19, DUT sum fd19
PASS: Expected sum fe14, DUT sum fe14
PASS: Expected sum feba, DUT sum feba
PASS: Expected sum ffaa, DUT sum ffaa
FAIL: Expected sum 1d, DUT sum ffff
***Sum output saturated to 16'hFFFF; Finishing simulation***
$finish called from file "./driver.sv", line 53.
$finish at simulation time              5020000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 5020000 ps
CPU Time:      0.280 seconds;       Data structure size:   0.0Mb
Tue May 21 17:47:48 2024
